stick_pk,material_pk
2,1
3,1
3,2
4,1
5,1
5,3
10,1
11,1
11,4
23,5
24,5
25,5
26,5
27,6
28,7
29,7
30,8
31,9
32,9
33,9
34,7
35,7
36,6
37,9
38,9
39,7
40,7
41,10
42,5
43,5
44,7
45,7
46,7
47,11
48,7
49,11
50,9
65,9
85,9
89,1
91,1
91,12
91,13
130,9
131,9
132,9
132,4
133,9
134,9
134,14
134,15
135,9
136,9
137,9
138,9
138,4
139,9
139,4
139,16
140,9
140,4
141,9
141,4
142,9
142,4
143,9
143,4
144,9
144,4
145,9
145,4
146,9
146,4
147,9
147,16
148,9
148,4
149,9
149,4
150,9
150,4
151,9
151,4
152,9
152,4
153,9
154,9
155,9
156,9
157,9
158,9
159,9
160,9
160,17
160,4
160,15
161,9
161,4
161,18
162,9
162,4
163,9
163,4
163,13
164,9
165,9
165,17
165,4
166,9
167,9
168,9
169,9
170,9
171,9
171,4
172,9
173,9
174,9
175,9
176,9
177,9
178,9
179,9
188,9
189,9
189,19
190,9
191,9
192,7
193,9
194,9
195,7
196,9
197,9
198,20
198,21
199,9
200,9
201,7
201,22
201,23
202,9
203,9
204,24
205,9
206,9
207,9
208,9
209,9
210,9
210,19
210,25
211,9
212,9
213,9
214,9
214,19
215,9
216,9
217,9
217,19
218,9
218,19
219,9
220,9
221,9
222,9
223,9
224,9
225,9
226,9
227,9
228,9
229,26
230,9
231,9
232,9
233,9
234,9
235,9
236,9
237,9
238,9
239,9
240,9
241,9
242,9
243,9
244,9
245,9
246,9
247,9
248,27
249,9
257,28
258,9
266,9
286,9
289,9
294,9
295,29
296,29
297,9
298,9
299,9
300,9
301,9
302,9
303,9
304,9
305,9
307,9
308,9
309,9
310,9
312,9
313,9
314,9
315,9
316,9
511,9
512,9
513,9
549,9
553,9
554,9
567,9
569,9
570,9
588,9
589,9
590,9
591,9
592,9
593,9
599,9
600,30
627,9
628,9
629,9
630,9
631,9
632,9
633,9
634,9
635,9
636,9
637,9
638,9
639,9
640,9
641,9
642,9
643,9
644,9
645,9
646,9
647,9
649,9
651,9
652,9
653,9
654,9
655,9
655,31
656,9
657,9
658,9
659,9
660,9
661,9
662,9
663,9
664,9
665,9
666,9
667,9
668,9
669,9
670,9
671,9
672,9
673,9
674,9
675,9
676,9
677,9
678,9
679,9
680,9
681,9
682,9
683,9
684,9
685,9
686,9
687,9
688,9
689,9
690,9
691,9
692,9
693,9
694,9
695,9
696,9
697,9
698,9
699,9
700,9
701,9
702,9
703,9
704,9
705,9
706,9
707,9
708,9
709,9
710,9
711,9
713,9
715,9
715,32
716,9
717,9
718,9
718,32
719,9
719,32
720,9
720,32
721,9
722,9
723,9
724,9
725,9
726,9
726,16
727,9
728,9
728,4
729,9
730,9
731,9
733,9
734,9
735,9
736,9
737,9
738,9
739,9
740,9
741,9
742,9
743,9
744,9
745,9
746,9
747,9
748,9
749,9
750,9
751,9
752,9
752,4
797,1
798,1
799,1
800,1
801,1
801,33
802,1
802,4
803,1
804,1
804,34
804,25
805,1
806,1
807,1
807,4
807,25
808,1
809,1
810,1
980,1
981,9
982,9
983,9
984,9
985,9
986,9
987,9
988,9
989,9
989,35
990,9
990,35
991,36
992,9
996,9
996,4
996,13
997,9
997,4
997,13
1003,9
1004,9
1005,9
1006,9
1007,9
1008,9
1009,9
1010,9
1011,9
1012,9
1013,9
