stick_pk,sem_domain_pk
1,1
1,2
1,3
2,4
2,5
2,6
2,7
2,8
3,9
3,10
3,11
3,12
4,13
5,9
5,11
6,7
6,4
6,5
6,6
6,8
7,4
7,14
7,15
7,16
7,17
7,8
7,18
7,7
7,19
8,20
8,17
8,4
8,21
8,22
8,8
9,7
9,21
9,23
10,20
11,4
11,5
11,24
11,25
11,26
11,27
11,28
11,29
11,10
13,5
13,30
13,31
13,12
13,32
13,4
13,33
14,7
14,6
14,32
14,4
14,34
14,35
14,5
14,36
14,1
14,37
14,38
14,39
14,40
15,7
15,6
16,12
16,6
16,7
16,21
16,5
16,4
17,13
17,41
17,42
17,43
18,4
18,9
18,44
19,12
19,6
19,7
19,37
19,45
19,46
19,36
20,6
20,7
20,32
24,1
24,2
25,20
25,19
25,15
25,47
25,32
25,8
28,48
28,4
28,49
28,50
28,51
28,52
28,53
28,54
28,45
32,55
32,56
32,57
32,28
33,35
33,6
35,58
35,41
35,59
35,60
35,61
42,35
42,31
42,62
42,63
42,64
43,65
43,66
43,67
43,41
44,31
44,68
44,69
45,70
45,20
45,22
47,71
47,55
47,72
47,62
47,9
47,37
47,73
47,35
47,53
50,2
50,74
50,75
51,12
51,32
51,76
51,1
51,40
51,8
54,4
54,5
54,8
54,77
54,78
55,8
55,78
55,79
55,80
60,46
60,8
60,17
63,81
63,82
63,25
63,28
63,83
63,84
64,5
64,85
64,86
64,4
65,6
65,7
65,87
65,28
65,29
66,88
67,88
67,12
67,89
68,44
68,90
69,71
69,72
69,91
70,7
71,70
71,7
72,7
72,30
73,10
73,92
73,93
73,94
73,95
74,96
74,97
74,98
74,99
75,32
75,100
75,41
75,101
75,10
75,7
76,32
76,1
77,44
77,96
77,99
77,32
77,1
78,32
78,1
78,35
78,34
78,102
78,92
78,103
78,104
79,105
79,47
80,106
80,105
80,47
81,107
81,65
85,41
85,10
85,65
85,53
85,34
85,20
86,70
86,20
86,108
86,109
86,110
86,32
86,111
89,4
89,55
89,17
89,76
89,20
89,5
89,112
89,22
93,11
94,20
94,8
94,21
94,46
94,65
95,113
95,7
95,114
95,8
108,35
108,8
108,19
108,115
108,116
108,117
108,10
108,118
108,53
108,119
109,17
109,120
109,121
109,116
109,122
109,32
111,123
111,124
111,125
111,126
111,127
112,116
112,128
112,12
112,129
112,100
112,72
112,130
112,131
112,34
112,132
112,133
112,134
113,70
113,20
113,130
113,8
113,35
113,98
114,71
114,8
114,12
114,135
114,95
114,34
114,107
115,136
115,137
115,129
115,138
115,34
115,135
115,71
115,107
115,98
116,136
116,107
116,31
116,19
127,71
782,139
782,88
782,2
782,32
988,140
988,73
988,141
990,40
990,12
990,142
1043,143
1062,143
1062,144
1062,145
1062,146
1062,147
1063,143
1063,148
1063,145
1065,21
1065,149
1065,144
1066,150
1066,140
1066,151
1066,152
1066,153
1066,119
1066,154
1291,144
1291,155
1291,156
1291,157
1291,158
1291,159
1291,160
